Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
2,1,2,0,1,0,3,2,270,3,3176,2,5,24,16,0,1,6,13,3045
3,1,1,2,3,0,0,0,72,2,7255,3,2,0,50,1,1,10,3,3134
3,1,0,1,3,0,4,2,196,3,6254,3,6,21,45,20,2,11,2,5013
2,1,2,1,3,0,4,1,244,3,8725,1,7,10,46,1,1,13,14,7159
2,1,2,3,2,0,3,2,172,1,8616,0,7,12,2,16,1,6,15,4240
0,0,0,3,0,0,1,2,161,1,2914,2,1,3,13,23,0,3,11,1033
2,0,1,0,1,0,0,2,244,0,6972,2,5,3,23,23,0,13,12,3483
1,0,1,3,2,0,4,0,193,3,9812,1,3,5,31,17,0,8,8,6515
0,1,1,0,3,0,3,1,125,2,3295,1,1,11,34,11,0,12,12,2377
0,0,0,3,3,0,1,0,252,2,9705,0,6,9,8,23,0,15,0,1874
3,0,2,1,2,0,0,2,69,2,3105,3,6,8,38,2,1,3,13,1579
2,0,1,2,3,0,1,0,79,2,5464,3,1,19,45,14,0,6,0,1143
3,1,1,0,3,0,0,0,222,1,3912,2,6,7,41,20,1,15,0,2790
2,0,0,0,3,0,2,0,193,0,4359,2,5,15,9,5,0,4,4,2338
2,0,1,0,0,0,0,0,156,2,7873,1,7,21,44,6,0,9,8,3984
0,0,0,3,2,0,2,2,296,2,8641,2,4,19,3,20,1,12,10,2778
2,0,3,1,3,0,2,0,210,2,2871,1,1,15,35,0,2,10,15,1684
0,0,3,1,0,0,3,1,217,3,4197,2,4,17,28,8,0,11,14,3559
3,1,3,3,3,0,1,0,131,2,6915,3,5,0,28,5,1,4,4,1203
0,1,3,2,0,0,1,1,85,3,9359,1,2,19,32,10,2,8,0,2654
2,0,1,1,0,0,3,1,293,3,3509,2,7,9,33,14,1,2,9,4103
3,1,0,2,0,0,3,1,123,3,6731,3,2,7,19,12,2,10,4,4203
0,1,3,1,1,0,1,2,256,0,159,0,7,4,33,16,0,13,4,2433
0,1,3,0,0,0,4,2,73,1,7976,0,5,5,15,0,0,8,9,4483
0,0,2,1,3,0,3,2,231,2,4595,2,4,16,41,10,2,2,12,2590
2,1,3,2,1,0,0,2,76,2,2723,1,7,6,28,17,0,12,9,2664
0,0,2,0,3,0,4,2,296,1,4910,0,5,5,40,22,1,11,6,2991
2,1,1,0,2,0,0,1,275,2,4425,2,2,11,13,23,1,14,3,3127
2,0,3,2,0,0,2,2,162,2,7434,2,6,14,14,5,2,6,7,2486
1,1,0,1,1,0,4,0,209,0,7258,1,1,9,27,18,0,5,5,5082
2,1,2,2,0,0,1,2,298,1,1170,3,1,15,1,22,2,0,2,1009
3,1,0,3,3,0,2,0,170,1,6890,3,2,15,39,11,2,3,2,2134
2,0,3,0,2,0,1,0,215,1,1695,3,6,22,31,24,2,5,9,1177
2,0,1,3,1,0,1,0,175,0,5671,3,4,16,45,14,2,12,13,1814
3,0,0,0,1,0,1,1,190,1,8553,2,6,6,44,19,2,11,11,1284
3,0,0,3,2,0,3,1,127,1,5005,1,6,20,37,6,2,7,0,2600
2,0,2,1,2,0,2,0,185,2,7570,0,2,14,48,13,0,4,1,2845
3,0,2,0,2,0,2,1,125,2,8298,1,2,4,12,12,1,0,5,2152
2,0,1,2,0,0,1,1,294,3,3216,3,1,5,20,21,1,7,9,2577
1,0,0,3,0,0,3,1,187,2,9945,2,3,1,9,13,2,7,14,4220
1,1,0,3,0,0,1,0,296,3,95,3,5,9,15,11,2,9,14,3294
1,0,2,0,0,0,0,1,213,3,1467,3,6,7,28,1,1,0,9,3243
3,1,1,3,1,0,2,0,243,1,2787,1,2,21,16,14,2,5,6,1126
0,1,0,2,1,0,1,1,292,0,3347,2,4,24,40,0,2,6,3,1954
1,0,1,3,1,0,4,1,52,0,9006,3,4,19,46,23,1,5,15,5547
3,1,2,2,3,0,0,2,131,2,4058,0,3,11,14,17,0,3,14,2233
1,1,3,3,0,0,1,2,276,1,2698,2,1,9,50,4,2,10,12,2027
0,0,1,1,2,0,1,1,209,1,1580,1,5,2,19,19,1,1,8,1543
2,0,0,1,3,0,3,0,86,2,5541,3,3,24,0,17,1,14,1,2522
1,0,0,2,1,0,4,2,238,2,7014,1,2,1,10,8,1,14,7,3996
1,1,2,1,0,0,4,2,200,1,1644,3,3,3,27,11,2,11,13,2235
1,1,2,2,1,0,4,2,235,3,4383,3,2,9,6,21,1,13,14,4311
3,0,0,3,2,0,4,2,122,1,5954,0,4,14,11,21,0,15,8,3419
0,1,3,1,3,0,0,1,218,2,9258,3,4,12,20,20,2,10,14,3713
1,1,2,0,2,0,1,0,156,0,2041,1,1,17,0,18,1,11,6,1484
3,1,0,2,0,0,1,2,289,1,2033,0,7,1,40,1,1,12,11,2517
3,0,0,3,3,0,1,1,214,1,7926,0,5,19,7,16,0,15,0,1644
3,0,0,2,0,0,2,1,292,2,8497,3,6,22,23,4,1,15,11,2813
3,0,2,0,3,0,4,0,209,2,5323,0,3,16,3,24,1,1,9,2779
2,1,2,2,2,0,3,2,120,0,7153,0,7,6,17,16,1,2,6,5044
3,1,2,3,0,0,3,2,264,0,2864,0,7,24,47,19,1,7,9,3745
1,1,2,1,0,0,2,0,252,2,6029,2,3,20,33,15,1,7,15,3084
3,1,1,0,3,0,1,2,68,0,825,0,7,17,21,4,2,13,5,2280
3,1,2,0,0,0,0,0,99,0,704,1,6,4,23,3,1,13,0,2130
3,0,0,2,2,0,2,1,278,2,2514,1,5,20,45,3,1,5,15,2224
2,0,0,3,2,0,4,0,89,3,3208,2,2,5,9,1,0,7,3,3058
0,0,3,3,1,0,2,0,255,1,9842,0,4,4,46,0,1,14,11,2956
0,1,0,2,1,0,4,0,189,1,7953,1,7,15,21,3,0,1,2,4357
0,0,0,0,0,0,2,2,158,0,1844,0,6,4,9,6,0,3,6,2250
2,1,1,3,2,0,3,2,224,3,4397,3,6,23,1,16,2,12,7,4031
1,0,1,3,0,0,3,0,158,0,6419,1,6,16,24,15,1,11,9,4445
1,0,1,3,0,0,3,2,272,3,7008,1,4,3,28,17,0,2,2,5133
3,1,2,2,1,0,1,0,222,2,1072,1,3,12,19,8,2,12,7,1086
2,1,2,3,2,0,1,1,238,2,9316,2,3,8,29,0,2,1,6,1790
1,1,3,1,2,0,3,2,54,3,9507,1,5,13,35,13,0,12,3,6621
0,0,3,0,2,0,0,1,161,2,1899,1,6,22,24,17,0,7,1,1900
0,1,1,0,1,0,3,1,206,3,4809,1,4,13,33,11,1,9,3,4031
3,0,0,3,2,0,1,0,236,0,3610,3,2,12,37,22,0,9,9,1733
0,0,0,2,3,0,1,0,110,2,5696,1,4,11,45,12,1,10,5,1645
2,0,0,0,0,0,1,1,80,2,9746,1,5,19,25,3,0,8,6,1660
1,0,3,2,0,0,4,2,204,3,3315,3,6,7,36,9,2,5,1,3973
2,1,0,2,0,0,4,0,130,3,7885,0,6,6,18,23,2,2,0,6810
0,0,3,3,2,0,3,2,276,1,2916,0,5,21,42,8,0,5,12,2393
2,0,1,2,3,0,2,0,233,3,3805,1,2,14,15,20,2,10,11,3171
0,0,3,2,0,0,3,0,144,1,7958,1,6,13,46,24,1,12,15,3492
1,1,3,3,0,0,3,2,183,2,8198,0,2,5,21,16,0,2,14,4612
3,0,0,1,1,0,1,0,120,2,1401,0,2,16,33,1,2,6,14,766
1,1,2,1,1,0,3,0,266,1,4293,2,6,19,8,5,0,3,6,2297
3,1,0,1,3,0,0,0,229,3,5235,3,2,15,37,13,0,3,5,3670
0,1,1,0,3,0,3,0,222,1,1771,0,3,5,8,12,2,1,6,1608
0,0,3,1,3,0,3,1,191,0,8358,0,5,16,20,10,1,10,15,3941
3,0,0,3,0,0,3,0,266,2,3800,3,7,23,8,5,1,5,8,2126
3,1,0,3,0,0,3,1,95,2,7468,0,7,5,47,22,0,3,0,4422
0,1,1,2,3,0,3,1,159,2,732,3,7,10,46,24,0,4,12,2262
2,0,0,1,2,0,3,1,187,1,196,0,4,16,8,10,0,12,12,1662
3,1,1,2,0,0,2,1,169,2,5393,1,3,13,2,5,2,0,4,2303
2,1,2,1,0,0,4,2,247,3,7749,2,5,5,20,8,1,3,1,6069
0,0,1,3,1,0,2,0,295,3,2761,0,3,2,1,8,2,9,5,2188
1,1,2,3,0,0,1,2,299,3,9445,0,5,12,20,15,0,7,13,3779
3,0,2,0,2,0,1,1,240,1,6726,3,7,15,6,16,2,4,5,848
0,1,1,0,3,0,0,2,190,2,5287,1,4,12,15,10,2,12,8,2801
0,1,1,0,1,0,0,0,136,1,4306,0,5,5,3,13,0,10,8,2207
0,0,1,0,3,0,0,0,271,3,555,3,7,18,0,1,2,15,10,2278
0,0,1,3,1,0,2,1,91,3,6898,0,2,10,1,23,1,15,14,2964
0,0,2,3,1,0,0,2,246,2,5413,1,2,16,38,0,2,6,10,2108
0,1,3,3,0,0,4,1,81,2,5499,3,4,21,27,2,1,1,13,3800
0,0,0,0,2,0,3,0,193,1,8786,2,2,7,40,7,0,11,1,3266
0,0,1,2,3,0,2,0,296,2,5310,3,1,14,42,17,2,14,13,2288
3,1,0,1,0,0,2,0,286,0,8809,2,5,18,37,15,2,2,12,3799
1,0,2,0,1,0,1,2,296,1,9285,1,6,3,45,1,0,9,1,1616
2,0,0,1,0,0,2,2,127,3,9352,0,6,21,28,16,1,1,6,5015
0,1,1,1,0,0,1,2,203,0,8920,1,2,23,32,6,2,12,14,2179
3,1,1,3,3,0,4,2,218,1,5278,0,3,8,15,11,1,15,13,3312
0,0,1,1,0,0,3,0,194,0,7148,3,7,10,43,17,2,2,6,3633
3,0,0,2,3,0,3,2,244,3,9014,0,3,1,4,19,2,6,3,3949
0,0,2,2,0,0,2,1,196,3,6180,1,7,13,49,7,1,7,15,3958
0,1,0,0,1,0,0,0,183,2,8717,3,6,21,37,9,0,5,7,3635
1,1,3,2,1,0,2,1,69,3,9050,3,5,17,38,20,0,4,8,4851
2,1,3,1,1,0,2,0,93,3,1760,3,3,12,11,4,2,7,13,2105
1,1,3,1,2,0,3,1,191,3,6482,0,7,17,23,10,2,5,4,5918
3,0,1,1,1,0,4,1,184,3,1614,3,3,6,48,24,2,12,14,2612
3,0,1,3,3,0,3,2,243,2,4215,1,4,14,45,9,2,7,4,2578
0,0,1,3,2,0,3,0,133,1,6127,3,7,6,34,16,2,8,5,2467
1,1,0,0,2,0,0,2,84,1,4084,2,3,24,45,20,0,6,6,2780
2,1,2,3,3,0,3,2,260,2,2266,1,3,10,44,12,2,12,11,2727
3,0,0,1,2,0,2,0,125,2,3849,3,7,14,7,6,2,0,5,1423
2,0,0,1,1,0,0,2,220,2,9445,1,3,20,17,10,1,14,6,3582
2,0,1,3,1,0,0,1,210,3,4197,3,2,16,48,16,0,9,8,3538
2,1,0,0,1,0,2,2,53,2,1720,1,1,10,24,19,0,0,14,1387
2,1,1,3,3,0,4,1,53,3,601,3,4,15,30,3,1,3,2,2729
2,0,0,1,3,0,1,0,53,3,6894,3,7,0,15,10,2,0,1,2026
2,1,2,2,1,0,1,2,183,3,5442,1,3,9,20,20,1,3,7,2522
2,0,1,1,0,0,3,2,222,3,3388,1,3,16,22,20,0,3,8,3559
2,0,0,1,0,0,0,1,120,1,5698,2,1,17,28,0,1,10,4,2790
1,0,1,2,2,0,2,0,191,0,6716,1,3,7,6,21,2,9,1,2999
0,1,1,1,1,0,0,2,179,3,3717,2,5,10,5,6,0,8,2,2899
3,0,1,3,1,0,2,1,292,0,3745,0,1,5,23,18,2,14,15,2056
3,1,1,0,2,0,0,1,54,0,9915,1,5,11,12,16,0,5,15,4122
0,1,0,0,0,0,0,2,232,1,1181,1,3,2,18,7,0,14,6,1888
2,1,2,2,2,0,3,0,194,0,4044,1,2,10,6,22,1,10,7,2960
0,0,3,0,1,0,1,1,158,1,5151,3,7,8,43,16,1,8,1,980
3,0,3,1,2,0,1,2,153,2,5711,0,4,10,48,5,2,11,4,1523
2,0,0,0,0,0,2,2,125,0,4670,3,6,5,7,6,2,1,15,2551
3,0,1,0,0,0,2,1,52,2,6862,0,7,10,49,17,0,12,15,3198
1,0,2,1,0,0,4,1,137,2,8095,2,4,14,30,18,0,5,7,4960
2,1,2,1,2,0,0,0,232,1,2764,3,1,16,39,15,2,13,6,1998
1,0,1,1,1,0,2,1,120,1,2061,0,4,12,14,17,1,12,1,1734
3,1,0,1,2,0,1,0,268,3,8886,0,3,8,13,9,0,14,1,2797
3,0,2,0,0,0,3,1,151,2,1703,1,7,2,46,2,0,4,11,2409
3,0,3,2,0,0,3,1,216,1,543,3,7,4,34,9,1,13,1,1574
3,0,2,0,2,0,2,0,160,1,7896,2,3,13,6,5,0,3,15,1559
2,1,2,3,0,0,3,0,140,2,5270,0,1,6,33,15,1,3,7,3307
2,1,0,1,0,0,4,0,281,0,1312,2,2,6,5,23,2,7,15,2544
2,0,3,2,0,0,1,2,97,0,8798,0,6,6,8,23,2,12,2,2161
1,0,2,1,1,0,4,0,145,1,9313,1,3,16,21,2,2,10,8,4257
0,1,2,1,1,0,4,1,237,3,6938,1,6,20,45,5,0,11,3,5391
0,1,1,0,2,0,1,1,236,1,5140,2,7,10,50,6,2,9,9,1884
3,1,3,3,2,0,2,0,174,2,1545,2,3,17,36,18,0,2,9,1721
0,0,3,3,2,0,3,1,275,3,9964,1,5,19,12,23,2,4,15,4712
0,1,3,2,1,0,4,2,74,0,3430,1,6,8,28,7,2,4,7,3169
2,0,1,1,3,0,3,2,108,0,7993,1,1,15,27,23,0,14,5,4042
1,1,2,3,3,0,0,2,238,3,4870,0,2,11,37,15,2,6,3,4631
2,1,1,1,3,0,1,1,62,0,9123,2,4,2,44,2,2,15,8,2539
1,1,1,1,3,0,3,1,151,3,9070,0,7,11,16,19,0,8,13,6816
1,1,1,0,2,0,0,1,189,2,274,1,1,8,30,14,2,14,2,2066
2,0,0,2,0,0,3,0,125,1,8390,0,7,7,20,10,2,11,11,4260
0,1,0,1,1,0,0,0,90,2,3379,0,1,22,50,10,0,11,12,2128
2,1,3,2,1,0,2,0,208,1,2215,2,4,11,32,15,2,4,5,1562
2,0,3,1,1,0,1,0,77,1,9206,2,3,24,18,7,0,11,15,626
1,0,3,2,1,0,4,0,261,2,5475,3,5,18,13,17,0,15,13,3612
1,1,0,0,1,0,0,0,246,2,9663,2,3,22,21,8,1,8,3,4347
0,0,2,3,3,0,0,0,98,3,5774,2,7,2,8,1,2,1,1,3222
1,0,1,1,3,0,1,2,115,1,2062,2,6,22,19,14,0,2,13,1523
1,1,3,1,2,0,4,1,198,1,1741,1,6,6,42,13,1,2,4,3325
3,1,2,1,3,0,0,0,196,0,5307,1,4,9,24,0,2,6,2,2673
2,1,1,1,2,0,0,0,263,3,7952,2,3,23,5,17,2,8,0,4496
1,1,0,1,0,0,2,0,156,2,2073,3,4,4,24,1,1,8,3,2011
2,1,2,1,1,0,1,1,82,0,9371,0,4,19,36,11,1,11,4,2209
1,0,1,1,3,0,1,1,149,3,8250,2,4,14,42,24,2,11,13,2901
0,1,3,3,3,0,0,0,175,3,6142,0,4,13,17,11,2,11,13,4173
1,0,1,1,1,0,1,1,114,1,3657,1,7,1,20,21,0,8,14,1466
3,0,0,3,3,0,4,0,155,0,3756,0,6,13,42,22,2,13,12,3439
0,0,3,0,1,0,4,1,81,0,7918,0,1,14,32,15,1,15,1,4286
3,1,1,3,3,0,0,2,50,2,4757,0,3,10,20,3,2,11,6,2272
0,1,0,0,1,0,0,2,105,2,4411,3,1,20,44,21,0,13,4,2482
3,0,3,0,2,0,1,2,282,0,5823,2,6,19,21,10,2,4,12,1644
0,0,3,1,2,0,4,0,111,1,9845,0,6,9,37,19,1,2,2,4663
1,0,0,2,2,0,0,0,54,0,6395,1,2,17,13,3,0,3,12,3314
2,1,0,1,1,0,2,1,216,3,4288,2,6,23,10,19,1,4,13,3710
2,0,0,2,2,0,1,1,192,1,6654,3,1,24,5,8,2,0,5,965
2,1,0,1,3,0,4,1,202,2,5203,2,7,14,27,9,1,0,15,4151
1,0,1,0,1,0,3,2,161,2,2498,1,7,5,46,6,2,3,14,2521
1,0,3,2,2,0,1,1,211,0,5145,3,4,7,32,7,1,8,13,1930
0,0,1,2,2,0,2,2,166,0,4595,3,4,2,11,13,2,8,0,1866
3,1,1,0,1,0,3,2,246,3,6434,3,7,11,39,12,0,4,2,4052
0,1,3,1,2,0,4,1,69,2,3291,2,5,0,4,22,0,12,3,2627
3,1,0,0,2,0,0,2,101,3,189,1,2,14,50,12,2,1,15,2614
3,0,2,3,2,0,3,0,95,0,4037,2,7,2,35,10,2,6,12,2414
1,1,0,0,2,0,3,2,279,0,2376,2,1,24,37,9,0,12,8,3488
2,0,3,1,2,0,1,1,124,2,875,2,3,16,27,6,0,11,8,1283
3,0,1,1,0,0,4,2,52,1,3709,3,3,4,41,12,2,7,4,2227
1,1,3,2,0,0,2,1,141,0,75,2,1,8,20,22,1,10,2,2485
3,1,3,2,0,0,1,0,242,0,4749,2,5,23,29,15,1,2,3,2252
3,1,1,3,2,0,2,1,171,0,4592,3,7,13,9,20,1,1,11,2543
1,0,1,0,1,0,4,1,279,3,2950,1,7,5,1,7,2,5,3,3772
1,1,3,3,2,0,1,0,257,3,5517,1,4,0,7,20,2,3,11,2758
1,1,0,3,1,0,4,0,276,1,4424,2,4,11,23,8,2,4,14,3306
1,1,1,3,0,0,0,0,112,3,4333,1,2,8,8,6,2,8,12,3810
2,1,0,1,1,0,1,1,70,3,1210,2,2,7,27,5,0,5,3,2461
0,0,0,2,0,0,3,2,255,0,8105,2,5,3,35,4,2,2,15,4099
3,1,3,1,3,0,3,1,109,2,9007,3,1,1,6,8,2,10,14,3358
3,0,3,0,3,0,3,2,229,2,2349,3,6,1,28,6,2,12,8,1633
2,1,3,2,2,0,0,1,195,0,486,0,1,9,3,16,2,9,4,1894
0,1,0,0,0,0,0,1,271,0,7545,2,5,19,0,18,1,13,5,3946
2,1,3,2,2,0,3,1,91,3,8722,1,6,4,34,12,1,0,9,5964
2,1,3,3,2,0,3,0,194,1,3972,2,7,1,9,23,2,2,13,2680
3,0,0,0,2,0,3,2,205,1,503,3,3,9,39,16,2,7,1,1232
0,1,0,0,3,0,3,1,195,1,9232,0,6,20,42,18,1,15,8,5064
1,0,2,1,2,0,3,1,59,2,3233,2,4,15,31,3,1,15,7,2633
1,1,3,3,3,0,3,2,145,3,6659,0,2,20,25,15,0,13,1,5502
2,1,2,2,2,0,2,1,146,3,2054,3,1,13,7,12,2,2,1,2751
3,1,0,1,3,0,1,1,284,0,5095,2,4,21,9,2,0,6,2,1674
0,0,3,0,2,0,1,0,239,2,3850,1,5,21,45,18,0,1,11,1961
1,1,0,0,0,0,4,1,90,2,6239,2,3,10,28,8,2,0,13,4723
1,1,0,0,3,0,4,2,146,0,5278,3,6,2,33,7,1,12,11,5106
0,1,1,1,2,0,2,0,251,1,125,3,4,22,28,5,0,12,9,1268
3,0,3,3,1,0,1,0,55,3,4458,0,5,0,50,5,2,9,8,2310
1,0,1,3,1,0,1,2,79,0,9384,1,2,23,38,6,2,9,3,1861
2,1,1,0,3,0,2,1,239,2,8101,1,3,12,27,18,2,4,1,3397
0,1,2,0,3,0,0,0,120,3,463,0,2,1,44,1,0,15,5,2929
2,0,1,3,1,0,0,1,216,3,8107,1,6,10,34,12,1,7,7,4693
1,0,0,1,3,0,3,1,205,3,3470,2,4,17,46,16,2,15,6,4378
1,1,2,1,1,0,2,2,87,3,7656,0,5,0,36,4,1,12,13,4633
3,1,1,0,2,0,3,0,73,1,1536,0,5,23,1,0,1,2,2,1518
3,0,1,2,1,0,3,2,268,3,3183,3,4,15,7,5,1,12,11,2509
0,0,2,2,1,0,1,0,93,2,6192,1,5,6,26,21,2,5,2,1103
0,0,0,2,3,0,2,0,197,2,11,3,3,9,1,11,0,6,15,751
1,1,1,2,1,0,3,0,162,2,2119,1,2,3,29,11,1,15,12,2366
2,1,2,1,0,0,2,0,92,2,2180,3,4,4,3,14,2,15,5,1781
2,0,3,3,3,0,4,1,62,3,8931,1,4,3,28,24,2,5,2,5517
3,1,2,1,0,0,4,1,205,3,5095,0,2,10,0,14,2,2,4,4320
1,0,0,0,2,0,1,1,173,2,7557,2,4,4,13,19,0,8,1,1489
0,0,1,0,2,0,2,2,100,3,3162,0,3,16,27,23,0,6,3,2773
1,1,1,1,2,0,1,2,102,1,1919,0,3,2,46,23,1,14,9,2253
1,0,0,3,2,0,3,2,202,1,7598,3,5,19,44,6,1,3,13,3590
0,0,3,1,3,0,0,2,178,2,7363,2,1,11,48,1,2,15,13,3029
0,1,3,2,0,0,2,0,50,1,288,1,2,8,21,14,2,8,1,1042
2,0,3,3,1,0,2,0,116,2,4998,1,4,3,43,5,2,15,3,2386
0,1,3,2,1,0,0,0,91,2,1340,2,2,24,26,7,1,10,4,1414
2,1,2,1,1,0,2,0,240,2,9798,1,6,1,27,11,0,3,4,3170
3,0,3,1,2,0,0,1,57,0,1658,1,3,18,44,15,2,4,4,2228
3,0,3,3,2,0,3,0,87,0,5964,0,4,2,37,9,1,15,2,3176
0,0,3,0,3,0,2,2,266,0,7304,1,3,3,40,3,1,9,1,2693
0,0,1,1,1,0,4,2,228,1,6574,0,5,19,23,1,0,6,8,3263
0,0,0,2,0,0,3,2,218,2,8770,3,1,19,36,16,1,14,14,3716
