Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016a,2017a,2018a,2019a,2020a
b Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table MF-27 and VM-1 (FHWA 1996 through 2021). Data from Table VM-1 is used to estimate the share of consumption between each on-road vehicle class. These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2021). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Includes medium- and heavy-duty trucks over 8,500 lbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d In 2014, EPA incorporated the NONROAD2008 model into the MOVES model framework. The current Inventory uses the Nonroad component of MOVES3 for years 1999 through 2020. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Note that large year over year fluctuations in emission estimates partially reflect nature of data collection for these sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Official estimates exclude emissions from the combustion of both aviation and marine international bunker fuels; however, estimates including international bunker fuel-related emissions are presented for informational purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Commercial aircraft, as modeled in FAA’s Aviation Environmental Design Tool (AEDT), consists of passenger aircraft, cargo, and other chartered flights. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Pipelines reflect CO2 emissions from natural gas-powered pipelines transporting natural gas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Ethanol and biodiesel estimates are presented for informational purposes only. See Section 3.10 of this chapter and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and UNFCCC reporting obligations, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Transportation sector natural gas and LPG consumption are based on data from EIA (2021b). Prior to the 1990 to 2015 Inventory, data from DOE TEDB were used to estimate each vehicle class’s share of the total natural gas and LPG consumption. Since TEDB does not include estimates for natural gas use by medium and heavy-duty trucks or LPG use by passenger cars, EIA Alternative Fuel Vehicle Data (Browning 2017) is now used to determine each vehicle class’s share of the total natural gas and LPG consumption. These changes were first incorporated in the 1990 to 2016 Inventory and apply to the 1990 to 2020 time period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k Includes emissions from rail electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Electricity consumption by passenger cars, light-duty trucks (SUVs), and buses is based on plug-in electric vehicle sales and engine efficiency data, as outlined in Browning (2018a). In prior Inventory years, CO2 emissions from electric vehicle charging were allocated to the residential and commercial sectors. They are now allocated to the transportation sector. These changes apply to the 2010 through 2020 time period. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: This table does not include emissions from non-transportation mobile sources, such as agricultural equipment and construction/mining equipment; it also does not include emissions associated with electricity consumption by pipelines or lubricants used in transportation. In addition, this table does not include CO2 emissions from U.S. Territories, since these are covered in a separate chapter of the Inventory. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
